tier,namespace,type,member,wpf_sig
1,System.Windows,FrameworkContentElement,InputScopeProperty,public static readonly System.Windows.DependencyProperty InputScopeProperty;
1,System.Windows,FrameworkContentElement,LanguageProperty,public static readonly System.Windows.DependencyProperty LanguageProperty;
1,System.Windows,FrameworkContentElement,LoadedEvent,public static readonly System.Windows.RoutedEvent LoadedEvent;
1,System.Windows,FrameworkContentElement,NameProperty,public static readonly System.Windows.DependencyProperty NameProperty;
1,System.Windows,FrameworkContentElement,OverridesDefaultStyleProperty,public static readonly System.Windows.DependencyProperty OverridesDefaultStyleProperty;
1,System.Windows,FrameworkContentElement,StyleProperty,public static readonly System.Windows.DependencyProperty StyleProperty;
1,System.Windows,FrameworkContentElement,TagProperty,public static readonly System.Windows.DependencyProperty TagProperty;
1,System.Windows,FrameworkContentElement,ToolTipClosingEvent,public static readonly System.Windows.RoutedEvent ToolTipClosingEvent;
1,System.Windows,FrameworkContentElement,ToolTipOpeningEvent,public static readonly System.Windows.RoutedEvent ToolTipOpeningEvent;
1,System.Windows,FrameworkContentElement,ToolTipProperty,public static readonly System.Windows.DependencyProperty ToolTipProperty;
1,System.Windows,FrameworkContentElement,UnloadedEvent,public static readonly System.Windows.RoutedEvent UnloadedEvent;
1,System.Windows,FrameworkElement,ActualHeightProperty,public static readonly System.Windows.DependencyProperty ActualHeightProperty;
1,System.Windows,FrameworkElement,ActualWidthProperty,public static readonly System.Windows.DependencyProperty ActualWidthProperty;
1,System.Windows,FrameworkElement,BindingGroupProperty,public static readonly System.Windows.DependencyProperty BindingGroupProperty;
1,System.Windows,FrameworkElement,ContextMenuClosingEvent,public static readonly System.Windows.RoutedEvent ContextMenuClosingEvent;
1,System.Windows,FrameworkElement,ContextMenuOpeningEvent,public static readonly System.Windows.RoutedEvent ContextMenuOpeningEvent;
1,System.Windows,FrameworkElement,DefaultStyleKeyProperty,protected internal static readonly System.Windows.DependencyProperty DefaultStyleKeyProperty;
1,System.Windows,FrameworkElement,FlowDirectionProperty,public static readonly System.Windows.DependencyProperty FlowDirectionProperty;
1,System.Windows,FrameworkElement,ForceCursorProperty,public static readonly System.Windows.DependencyProperty ForceCursorProperty;
1,System.Windows,FrameworkElement,InputScopeProperty,public static readonly System.Windows.DependencyProperty InputScopeProperty;
1,System.Windows,FrameworkElement,LanguageProperty,public static readonly System.Windows.DependencyProperty LanguageProperty;
1,System.Windows,FrameworkElement,LayoutTransformProperty,public static readonly System.Windows.DependencyProperty LayoutTransformProperty;
1,System.Windows,FrameworkElement,LoadedEvent,public static readonly System.Windows.RoutedEvent LoadedEvent;
1,System.Windows,FrameworkElement,OverridesDefaultStyleProperty,public static readonly System.Windows.DependencyProperty OverridesDefaultStyleProperty;
1,System.Windows,FrameworkElement,SizeChangedEvent,public static readonly System.Windows.RoutedEvent SizeChangedEvent;
1,System.Windows,FrameworkElement,ToolTipClosingEvent,public static readonly System.Windows.RoutedEvent ToolTipClosingEvent;
1,System.Windows,FrameworkElement,ToolTipOpeningEvent,public static readonly System.Windows.RoutedEvent ToolTipOpeningEvent;
1,System.Windows,FrameworkElement,UnloadedEvent,public static readonly System.Windows.RoutedEvent UnloadedEvent;
1,System.Windows,FrameworkElement,UseLayoutRoundingProperty,public static readonly System.Windows.DependencyProperty UseLayoutRoundingProperty;
1,System.Windows,TextDecoration,LocationProperty,public static readonly System.Windows.DependencyProperty LocationProperty
1,System.Windows,TextDecoration,PenOffsetProperty,public static readonly System.Windows.DependencyProperty PenOffsetProperty
1,System.Windows,TextDecoration,PenOffsetUnitProperty,public static readonly System.Windows.DependencyProperty PenOffsetUnitProperty
1,System.Windows,TextDecoration,PenProperty,public static readonly System.Windows.DependencyProperty PenProperty
1,System.Windows,TextDecoration,PenThicknessUnitProperty,public static readonly System.Windows.DependencyProperty PenThicknessUnitProperty
1,System.Windows,UIElement,AllowDropProperty,public static readonly System.Windows.DependencyProperty AllowDropProperty
1,System.Windows,UIElement,AreAnyTouchesCapturedProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesCapturedProperty
1,System.Windows,UIElement,AreAnyTouchesCapturedWithinProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesCapturedWithinProperty
1,System.Windows,UIElement,AreAnyTouchesDirectlyOverProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesDirectlyOverProperty
1,System.Windows,UIElement,AreAnyTouchesOverProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesOverProperty
1,System.Windows,UIElement,BitmapEffectInputProperty,public static readonly System.Windows.DependencyProperty BitmapEffectInputProperty
1,System.Windows,UIElement,BitmapEffectProperty,public static readonly System.Windows.DependencyProperty BitmapEffectProperty
1,System.Windows,UIElement,CacheModeProperty,public static readonly System.Windows.DependencyProperty CacheModeProperty
1,System.Windows,UIElement,DragEnterEvent,public static readonly System.Windows.RoutedEvent DragEnterEvent
1,System.Windows,UIElement,DragLeaveEvent,public static readonly System.Windows.RoutedEvent DragLeaveEvent
1,System.Windows,UIElement,DragOverEvent,public static readonly System.Windows.RoutedEvent DragOverEvent
1,System.Windows,UIElement,DropEvent,public static readonly System.Windows.RoutedEvent DropEvent
1,System.Windows,UIElement,GiveFeedbackEvent,public static readonly System.Windows.RoutedEvent GiveFeedbackEvent
1,System.Windows,UIElement,GotStylusCaptureEvent,public static readonly System.Windows.RoutedEvent GotStylusCaptureEvent
1,System.Windows,UIElement,IsMouseCaptureWithinProperty,public static readonly System.Windows.DependencyProperty IsMouseCaptureWithinProperty
1,System.Windows,UIElement,IsMouseCapturedProperty,public static readonly System.Windows.DependencyProperty IsMouseCapturedProperty
1,System.Windows,UIElement,IsMouseDirectlyOverProperty,public static readonly System.Windows.DependencyProperty IsMouseDirectlyOverProperty
1,System.Windows,UIElement,IsStylusCaptureWithinProperty,public static readonly System.Windows.DependencyProperty IsStylusCaptureWithinProperty
1,System.Windows,UIElement,IsStylusCapturedProperty,public static readonly System.Windows.DependencyProperty IsStylusCapturedProperty
1,System.Windows,UIElement,IsStylusDirectlyOverProperty,public static readonly System.Windows.DependencyProperty IsStylusDirectlyOverProperty
1,System.Windows,UIElement,IsStylusOverProperty,public static readonly System.Windows.DependencyProperty IsStylusOverProperty
1,System.Windows,UIElement,IsVisibleProperty,public static readonly System.Windows.DependencyProperty IsVisibleProperty
1,System.Windows,UIElement,LostStylusCaptureEvent,public static readonly System.Windows.RoutedEvent LostStylusCaptureEvent
1,System.Windows,UIElement,PreviewDragEnterEvent,public static readonly System.Windows.RoutedEvent PreviewDragEnterEvent
1,System.Windows,UIElement,PreviewDragLeaveEvent,public static readonly System.Windows.RoutedEvent PreviewDragLeaveEvent
1,System.Windows,UIElement,PreviewDragOverEvent,public static readonly System.Windows.RoutedEvent PreviewDragOverEvent
1,System.Windows,UIElement,PreviewDropEvent,public static readonly System.Windows.RoutedEvent PreviewDropEvent
1,System.Windows,UIElement,PreviewGiveFeedbackEvent,public static readonly System.Windows.RoutedEvent PreviewGiveFeedbackEvent
1,System.Windows,UIElement,PreviewQueryContinueDragEvent,public static readonly System.Windows.RoutedEvent PreviewQueryContinueDragEvent
1,System.Windows,UIElement,PreviewStylusButtonDownEvent,public static readonly System.Windows.RoutedEvent PreviewStylusButtonDownEvent
1,System.Windows,UIElement,PreviewStylusButtonUpEvent,public static readonly System.Windows.RoutedEvent PreviewStylusButtonUpEvent
1,System.Windows,UIElement,PreviewStylusInAirMoveEvent,public static readonly System.Windows.RoutedEvent PreviewStylusInAirMoveEvent
1,System.Windows,UIElement,PreviewStylusInRangeEvent,public static readonly System.Windows.RoutedEvent PreviewStylusInRangeEvent
1,System.Windows,UIElement,PreviewStylusOutOfRangeEvent,public static readonly System.Windows.RoutedEvent PreviewStylusOutOfRangeEvent
1,System.Windows,UIElement,PreviewStylusSystemGestureEvent,public static readonly System.Windows.RoutedEvent PreviewStylusSystemGestureEvent
1,System.Windows,UIElement,QueryContinueDragEvent,public static readonly System.Windows.RoutedEvent QueryContinueDragEvent
1,System.Windows,UIElement,QueryCursorEvent,public static readonly System.Windows.RoutedEvent QueryCursorEvent
1,System.Windows,UIElement,SnapsToDevicePixelsProperty,public static readonly System.Windows.DependencyProperty SnapsToDevicePixelsProperty
1,System.Windows,UIElement,UidProperty,public static readonly System.Windows.DependencyProperty UidProperty
1,System.Windows,UIElement3D,AllowDropProperty,public static readonly System.Windows.DependencyProperty AllowDropProperty
1,System.Windows,UIElement3D,AreAnyTouchesCapturedProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesCapturedProperty
1,System.Windows,UIElement3D,AreAnyTouchesCapturedWithinProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesCapturedWithinProperty
1,System.Windows,UIElement3D,AreAnyTouchesDirectlyOverProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesDirectlyOverProperty
1,System.Windows,UIElement3D,AreAnyTouchesOverProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesOverProperty
1,System.Windows,UIElement3D,DragEnterEvent,public static readonly System.Windows.RoutedEvent DragEnterEvent
1,System.Windows,UIElement3D,DragLeaveEvent,public static readonly System.Windows.RoutedEvent DragLeaveEvent
1,System.Windows,UIElement3D,DragOverEvent,public static readonly System.Windows.RoutedEvent DragOverEvent
1,System.Windows,UIElement3D,DropEvent,public static readonly System.Windows.RoutedEvent DropEvent
1,System.Windows,UIElement3D,FocusableProperty,public static readonly System.Windows.DependencyProperty FocusableProperty
1,System.Windows,UIElement3D,GiveFeedbackEvent,public static readonly System.Windows.RoutedEvent GiveFeedbackEvent
1,System.Windows,UIElement3D,GotFocusEvent,public static readonly System.Windows.RoutedEvent GotFocusEvent
1,System.Windows,UIElement3D,GotKeyboardFocusEvent,public static readonly System.Windows.RoutedEvent GotKeyboardFocusEvent
1,System.Windows,UIElement3D,GotMouseCaptureEvent,public static readonly System.Windows.RoutedEvent GotMouseCaptureEvent
1,System.Windows,UIElement3D,GotStylusCaptureEvent,public static readonly System.Windows.RoutedEvent GotStylusCaptureEvent
1,System.Windows,UIElement3D,GotTouchCaptureEvent,public static readonly System.Windows.RoutedEvent GotTouchCaptureEvent
1,System.Windows,UIElement3D,IsEnabledProperty,public static readonly System.Windows.DependencyProperty IsEnabledProperty
1,System.Windows,UIElement3D,IsFocusedProperty,public static readonly System.Windows.DependencyProperty IsFocusedProperty
1,System.Windows,UIElement3D,IsHitTestVisibleProperty,public static readonly System.Windows.DependencyProperty IsHitTestVisibleProperty
1,System.Windows,UIElement3D,IsKeyboardFocusWithinProperty,public static readonly System.Windows.DependencyProperty IsKeyboardFocusWithinProperty
1,System.Windows,UIElement3D,IsKeyboardFocusedProperty,public static readonly System.Windows.DependencyProperty IsKeyboardFocusedProperty
1,System.Windows,UIElement3D,IsMouseCaptureWithinProperty,public static readonly System.Windows.DependencyProperty IsMouseCaptureWithinProperty
1,System.Windows,UIElement3D,IsMouseCapturedProperty,public static readonly System.Windows.DependencyProperty IsMouseCapturedProperty
1,System.Windows,UIElement3D,IsMouseDirectlyOverProperty,public static readonly System.Windows.DependencyProperty IsMouseDirectlyOverProperty
1,System.Windows,UIElement3D,IsMouseOverProperty,public static readonly System.Windows.DependencyProperty IsMouseOverProperty
1,System.Windows,UIElement3D,IsStylusCaptureWithinProperty,public static readonly System.Windows.DependencyProperty IsStylusCaptureWithinProperty
1,System.Windows,UIElement3D,IsStylusCapturedProperty,public static readonly System.Windows.DependencyProperty IsStylusCapturedProperty
